trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-193.37426807916074,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-245.0784294214755,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-174.50313857786466,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-53.77252212322166,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-28.654186159858174,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-119.81922346661497,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,7,-12.466235962017592,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-100.00580342101709,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-104.35168785351011,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-180.81991814030715,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-57.69988208840326,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-85.05490286559402,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,7,-80.3046855675723,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,4,8.794129468600346,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-121.10309652388429,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,17,-5.636400267354117,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-50.20406008766725,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,1,-152.80190832773076,"{0: 16, 1: 1, 2: 1, 3: 4, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,15.116520636354888,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-77.58746951508196,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,12,14.713148767763924,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,15,17.921461565390544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,20,8.802727213893949,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,11,-24.331168052567236,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,12.991007162099812,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-32.20432973256996,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-42.66857861213277,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,12,-14.26055080013113,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,4,-30.58467919076925,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,3,-5.81680486771996,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
