trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9704455335485082}",30,0,-167.64087937235004,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.9417645335842487}",25,0,-102.40614801706003,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.3, 'e': 0.9139311852712282}",20,0,-174.34390498199994,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.3, 'e': 0.8869204367171575}",20,0,-80.2002247511423,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.8607079764250577}",20,12,-49.484624907148955,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.3, 'e': 0.8352702114112719}",30,0,-159.58312227475403,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.3, 'e': 0.810584245970187}",20,0,-33.26479190699122,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.7866278610665532}",30,0,-44.93117024363409,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.763379494336853}",20,0,-100.12644058635097,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.7408182206817177}",25,1,-143.76597422456638,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 3}",1
11,False,"{'a': 0.3, 'e': 0.718923733431926}",20,0,-100.0439394935834,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.6976763260710308}",20,8,-106.5294348457683,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 2}",1
13,False,"{'a': 0.3, 'e': 0.6770568744981644}",20,11,-5.042377091165021,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.3, 'e': 0.6570468198150565}",25,0,-122.29891318689538,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.637628151621773}",20,0,13.084292832879774,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.3, 'e': 0.6187833918061405}",30,0,-186.35019187101807,"{0: 15, 1: 6, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.3, 'e': 0.6004955788122656}",20,0,-1.3832523522355462,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.5827482523739893}",20,0,-69.64961710237377,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.5655254386995368}",25,0,-51.28591088375973,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.3, 'e': 0.5488116360940261}",20,11,-55.04416718233262,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 0}",1
21,False,"{'a': 0.3, 'e': 0.5325918010068968}",20,0,-29.06930888832799,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.3, 'e': 0.5168513344916988}",25,15,-14.964388793673384,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.3, 'e': 0.5015760690660551}",25,0,-62.18614698710389,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.3, 'e': 0.48675225595997124}",20,4,6.308638131556343,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.3, 'e': 0.4723665527410143}",25,3,-110.49375249246783,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 2}",1
26,False,"{'a': 0.3, 'e': 0.4584060113052231}",20,15,-3.419792277025957,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.3, 'e': 0.4448580662229407}",35,21,24.634880138834333,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.3, 'e': 0.4317105234290793}",25,4,-44.000454565584434,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.3, 'e': 0.41895154924763855}",25,5,-37.21555933380452,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
