trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.11326720061905,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.85154574065386,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.34409653618191,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,11,-20.528533118980278,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.29413866584318,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.57205459132324,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,4,-31.709458683310373,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.22602308603842,"{0: 9, 1: 7, 2: 0, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,9,-76.25545211012619,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-250.52189377795813,"{0: 14, 1: 5, 2: 4, 3: 4, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-83.25148206485035,"{0: 19, 1: 8, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.365308599967854,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-69.50638223907873,"{0: 25, 1: 5, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.1504701295788,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.07323445184547,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.20398494561437,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.80658041200996,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.3677071689117,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.83113110772922,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.7129443888905,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-69.34908636983411,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.2320172674242,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.77869614333443,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,20,-44.61641564513092,"{0: 10, 1: 2, 2: 1, 3: 2, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-141.53815554442772,"{0: 22, 1: 4, 2: 6, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.3423188413643,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.6788109722592,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-70.44158528500543,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-212.66208761964614,"{0: 10, 1: 4, 2: 8, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.37148755933376,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
